N,O,RHYTHM
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.39,0.61,(N
0.5,0.5,(AFIB
0.30666666666666664,0.6933333333333334,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(N
0.48,0.52,(N
0.49333333333333335,0.5066666666666667,(N
0.4633333333333333,0.5366666666666666,(N
0.4866666666666667,0.5133333333333333,(N
0.49666666666666665,0.5033333333333333,(N
0.5,0.5,(N
0.5,0.5,(N
0.5,0.5,(N
0.48,0.52,(N
0.4666666666666667,0.5333333333333333,(N
0.4533333333333333,0.5466666666666666,(N
0.43333333333333335,0.5666666666666667,(N
0.43333333333333335,0.5666666666666667,(N
0.48333333333333334,0.5166666666666667,(N
0.4633333333333333,0.5366666666666666,(N
0.44666666666666666,0.5533333333333333,(N
0.46,0.54,(N
0.44333333333333336,0.5566666666666666,(N
0.49333333333333335,0.5066666666666667,(N
0.49666666666666665,0.5033333333333333,(N
0.5,0.5,(N
0.4866666666666667,0.5133333333333333,(N
0.49666666666666665,0.5033333333333333,(N
0.4866666666666667,0.5133333333333333,(N
0.5,0.5,(N
0.47,0.53,(N
0.49666666666666665,0.5033333333333333,(N
0.47,0.53,(N
0.43333333333333335,0.5666666666666667,(N
0.43333333333333335,0.5666666666666667,(N
0.4766666666666667,0.5233333333333333,(N
0.49333333333333335,0.5066666666666667,(N
0.45666666666666667,0.5433333333333333,(N
0.43333333333333335,0.5666666666666667,(N
0.42333333333333334,0.5766666666666667,(N
0.42,0.58,(N
0.4266666666666667,0.5733333333333334,(N
0.43,0.57,(N
0.4166666666666667,0.5833333333333334,(N
0.49,0.51,(N
0.42,0.58,(N
0.42,0.58,(N
0.39666666666666667,0.6033333333333334,(N
0.42,0.58,(N
0.43666666666666665,0.5633333333333334,(N
0.43666666666666665,0.5633333333333334,(N
0.42333333333333334,0.5766666666666667,(N
0.4166666666666667,0.5833333333333334,(N
0.4166666666666667,0.5833333333333334,(N
0.43666666666666665,0.5633333333333334,(N
0.4533333333333333,0.5466666666666666,(N
0.5,0.5,(N
0.44,0.56,(N
0.49,0.51,(N
0.5,0.5,(N
0.44333333333333336,0.5566666666666666,(N
0.4866666666666667,0.5133333333333333,(N
0.49333333333333335,0.5066666666666667,(N
0.49,0.51,(N
0.49666666666666665,0.5033333333333333,(N
0.48,0.52,(N
0.48,0.52,(N
0.4666666666666667,0.5333333333333333,(N
0.48,0.52,(N
0.4666666666666667,0.5333333333333333,(N
0.48,0.52,(N
0.48,0.52,(N
0.47333333333333333,0.5266666666666666,(N
0.4766666666666667,0.5233333333333333,(N
0.4666666666666667,0.5333333333333333,(N
0.47333333333333333,0.5266666666666666,(N
0.46,0.54,(N
0.46,0.54,(N
0.4633333333333333,0.5366666666666666,(N
0.44333333333333336,0.5566666666666666,(N
0.45666666666666667,0.5433333333333333,(N
0.49333333333333335,0.5066666666666667,(N
0.4766666666666667,0.5233333333333333,(N
0.4633333333333333,0.5366666666666666,(N
0.48,0.52,(N
0.47,0.53,(N
0.43666666666666665,0.5633333333333334,(N
0.43,0.57,(N
0.42,0.58,(N
0.4266666666666667,0.5733333333333334,(N
0.44333333333333336,0.5566666666666666,(N
0.44666666666666666,0.5533333333333333,(N
0.47,0.53,(N
0.4533333333333333,0.5466666666666666,(N
0.47,0.53,(N
0.48333333333333334,0.5166666666666667,(N
0.47,0.53,(N
0.4866666666666667,0.5133333333333333,(N
0.47,0.53,(N
0.47333333333333333,0.5266666666666666,(N
0.45,0.55,(AFIB
0.4766666666666667,0.5233333333333333,(AFIB
0.5,0.5,(N
0.47,0.53,(N
0.49333333333333335,0.5066666666666667,(N
0.48,0.52,(N
0.49666666666666665,0.5033333333333333,(N
0.43333333333333335,0.5666666666666667,(N
0.49,0.51,(N
0.44,0.56,(N
0.44,0.56,(N
0.44666666666666666,0.5533333333333333,(N
0.44,0.56,(N
0.48,0.52,(N
0.43333333333333335,0.5666666666666667,(N
0.4666666666666667,0.5333333333333333,(N
0.4866666666666667,0.5133333333333333,(N
0.47333333333333333,0.5266666666666666,(N
0.4866666666666667,0.5133333333333333,(N
0.46,0.54,(N
0.4766666666666667,0.5233333333333333,(N
0.4666666666666667,0.5333333333333333,(N
0.48333333333333334,0.5166666666666667,(N
0.46,0.54,(N
0.4766666666666667,0.5233333333333333,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.4766666666666667,0.5233333333333333,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.5,0.5,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.49666666666666665,0.5033333333333333,(N
0.5,0.5,(AFIB
0.38333333333333336,0.6166666666666667,(N
0.48333333333333334,0.5166666666666667,(N
0.4866666666666667,0.5133333333333333,(AFIB
0.5,0.5,(AFIB
0.4866666666666667,0.5133333333333333,(N
0.5,0.5,(N
0.46,0.54,(N
0.47,0.53,(N
0.46,0.54,(N
0.4633333333333333,0.5366666666666666,(N
0.47333333333333333,0.5266666666666666,(N
0.4266666666666667,0.5733333333333334,(N
0.48333333333333334,0.5166666666666667,(N
0.4866666666666667,0.5133333333333333,(N
0.5,0.5,(AFIB
0.5,0.5,(N
0.4166666666666667,0.5833333333333334,(N
0.44333333333333336,0.5566666666666666,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.4066666666666667,0.5933333333333334,(N
0.5,0.5,(AFIB
0.47333333333333333,0.5266666666666666,(N
0.5,0.5,(N
0.5,0.5,(N
0.49333333333333335,0.5066666666666667,(N
0.5,0.5,(N
0.4866666666666667,0.5133333333333333,(N
0.5,0.5,(N
0.5,0.5,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.49666666666666665,0.5033333333333333,(N
0.5,0.5,(AFIB
0.4866666666666667,0.5133333333333333,(N
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.43333333333333335,0.5666666666666667,(N
0.5,0.5,(AFIB
0.47,0.53,(N
0.44,0.56,(AFIB
0.4866666666666667,0.5133333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.5,0.5,(AFIB
0.4766666666666667,0.5233333333333333,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.5,0.5,(AFIB
0.47,0.53,(AFIB
0.49,0.51,(AFIB
0.44333333333333336,0.5566666666666666,(N
0.36666666666666664,0.6333333333333333,(N
0.39,0.61,(N
0.4866666666666667,0.5133333333333333,(N
0.35333333333333333,0.6466666666666666,(N
0.42,0.58,(N
0.4633333333333333,0.5366666666666666,(N
0.46,0.54,(N
0.4633333333333333,0.5366666666666666,(N
0.43333333333333335,0.5666666666666667,(N
0.4633333333333333,0.5366666666666666,(N
0.48333333333333334,0.5166666666666667,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(N
0.49666666666666665,0.5033333333333333,(SBR
0.49,0.51,(SBR
0.5,0.5,(SBR
0.4766666666666667,0.5233333333333333,(SBR
0.5,0.5,(SBR
0.5,0.5,(SBR
0.5,0.5,(AFIB
0.49333333333333335,0.5066666666666667,(SBR
0.4266666666666667,0.5733333333333334,(N
0.47,0.53,(N
0.4633333333333333,0.5366666666666666,(N
0.45,0.55,(N
0.4266666666666667,0.5733333333333334,(N
0.47333333333333333,0.5266666666666666,(N
0.47,0.53,(N
0.45666666666666667,0.5433333333333333,(N
0.4266666666666667,0.5733333333333334,(N
0.4666666666666667,0.5333333333333333,(N
0.38333333333333336,0.6166666666666667,(N
0.38,0.62,(N
0.41,0.59,(N
0.4166666666666667,0.5833333333333334,(N
0.42,0.58,(N
0.43333333333333335,0.5666666666666667,(N
0.37666666666666665,0.6233333333333333,(N
0.43,0.57,(N
0.4033333333333333,0.5966666666666667,(N
0.41333333333333333,0.5866666666666667,(N
0.41333333333333333,0.5866666666666667,(N
0.4266666666666667,0.5733333333333334,(N
0.4266666666666667,0.5733333333333334,(N
0.3933333333333333,0.6066666666666667,(N
0.4266666666666667,0.5733333333333334,(N
0.42333333333333334,0.5766666666666667,(N
0.42333333333333334,0.5766666666666667,(N
0.4066666666666667,0.5933333333333334,(N
0.4066666666666667,0.5933333333333334,(N
0.44,0.56,(N
0.42,0.58,(N
0.4,0.6,(N
0.41333333333333333,0.5866666666666667,(N
0.43333333333333335,0.5666666666666667,(N
0.42333333333333334,0.5766666666666667,(N
0.4533333333333333,0.5466666666666666,(N
0.45666666666666667,0.5433333333333333,(N
0.44333333333333336,0.5566666666666666,(N
0.44666666666666666,0.5533333333333333,(N
0.43333333333333335,0.5666666666666667,(N
0.45666666666666667,0.5433333333333333,(N
0.4633333333333333,0.5366666666666666,(N
0.46,0.54,(N
0.44333333333333336,0.5566666666666666,(N
0.43,0.57,(N
0.44333333333333336,0.5566666666666666,(N
0.42,0.58,(N
0.4033333333333333,0.5966666666666667,(N
0.42,0.58,(N
0.42333333333333334,0.5766666666666667,(N
0.43333333333333335,0.5666666666666667,(N
0.44,0.56,(N
0.42333333333333334,0.5766666666666667,(N
0.4166666666666667,0.5833333333333334,(N
0.43666666666666665,0.5633333333333334,(N
0.43333333333333335,0.5666666666666667,(N
0.3933333333333333,0.6066666666666667,(N
0.4066666666666667,0.5933333333333334,(N
0.41,0.59,(N
0.43666666666666665,0.5633333333333334,(N
0.49,0.51,(N
0.5,0.5,(SBR
0.5,0.5,(SBR
0.5,0.5,(SBR
0.5,0.5,(SBR
0.5,0.5,(SBR
0.49666666666666665,0.5033333333333333,(SBR
0.47,0.53,(SBR
0.45,0.55,(SBR
0.4866666666666667,0.5133333333333333,(SBR
0.49333333333333335,0.5066666666666667,(SBR
0.49,0.51,(SBR
0.4866666666666667,0.5133333333333333,(SBR
0.5,0.5,(SBR
0.5,0.5,(SBR
0.5,0.5,(SBR
0.5,0.5,(SBR
0.49666666666666665,0.5033333333333333,(SBR
0.5,0.5,(SBR
0.5,0.5,(SBR
0.49333333333333335,0.5066666666666667,(SBR
0.49333333333333335,0.5066666666666667,(N
0.49333333333333335,0.5066666666666667,(N
0.48333333333333334,0.5166666666666667,(N
0.4666666666666667,0.5333333333333333,(N
0.48,0.52,(N
0.4633333333333333,0.5366666666666666,(N
0.48333333333333334,0.5166666666666667,(N
0.47,0.53,(N
0.48333333333333334,0.5166666666666667,(N
0.4666666666666667,0.5333333333333333,(N
0.4766666666666667,0.5233333333333333,(N
0.4633333333333333,0.5366666666666666,(N
0.49666666666666665,0.5033333333333333,(AFIB
0.4066666666666667,0.5933333333333334,(N
0.49333333333333335,0.5066666666666667,(N
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.48,0.52,(AFIB
0.4666666666666667,0.5333333333333333,(AFIB
0.45,0.55,(AFIB
0.46,0.54,(AFIB
0.4633333333333333,0.5366666666666666,(AFIB
0.45,0.55,(AFIB
0.4266666666666667,0.5733333333333334,(AFIB
0.45666666666666667,0.5433333333333333,(AFIB
0.45,0.55,(AFIB
0.45666666666666667,0.5433333333333333,(AFIB
0.3933333333333333,0.6066666666666667,(N
0.4066666666666667,0.5933333333333334,(N
0.44,0.56,(N
0.4066666666666667,0.5933333333333334,(N
0.3933333333333333,0.6066666666666667,(N
0.37666666666666665,0.6233333333333333,(N
0.34,0.66,(N
0.36666666666666664,0.6333333333333333,(N
0.4166666666666667,0.5833333333333334,(N
0.37,0.63,(N
0.3433333333333333,0.6566666666666666,(N
0.37333333333333335,0.6266666666666667,(N
0.3933333333333333,0.6066666666666667,(N
0.38333333333333336,0.6166666666666667,(N
0.37333333333333335,0.6266666666666667,(N
0.4033333333333333,0.5966666666666667,(N
0.4,0.6,(N
0.37333333333333335,0.6266666666666667,(N
0.39,0.61,(N
0.38,0.62,(N
0.3933333333333333,0.6066666666666667,(N
0.38333333333333336,0.6166666666666667,(N
0.4,0.6,(N
0.3933333333333333,0.6066666666666667,(N
0.43666666666666665,0.5633333333333334,(N
0.48333333333333334,0.5166666666666667,(N
0.37,0.63,(N
0.36666666666666664,0.6333333333333333,(N
0.3566666666666667,0.6433333333333333,(N
0.35,0.65,(N
0.3566666666666667,0.6433333333333333,(N
0.3466666666666667,0.6533333333333333,(N
0.36333333333333334,0.6366666666666667,(N
0.36666666666666664,0.6333333333333333,(N
0.3566666666666667,0.6433333333333333,(N
0.37,0.63,(N
0.37,0.63,(N
0.42333333333333334,0.5766666666666667,(N
0.39666666666666667,0.6033333333333334,(N
0.36666666666666664,0.6333333333333333,(N
0.33666666666666667,0.6633333333333333,(N
0.37333333333333335,0.6266666666666667,(N
0.4033333333333333,0.5966666666666667,(N
0.44,0.56,(N
0.41333333333333333,0.5866666666666667,(N
0.3933333333333333,0.6066666666666667,(N
0.3933333333333333,0.6066666666666667,(N
0.4033333333333333,0.5966666666666667,(N
0.36,0.64,(N
0.36666666666666664,0.6333333333333333,(N
0.38666666666666666,0.6133333333333333,(N
0.39,0.61,(N
0.4,0.6,(N
0.41,0.59,(N
0.37,0.63,(N
0.4,0.6,(N
0.38333333333333336,0.6166666666666667,(N
0.3933333333333333,0.6066666666666667,(N
0.41,0.59,(N
0.39,0.61,(N
0.38,0.62,(N
0.25,0.75,(AB
0.49666666666666665,0.5033333333333333,(N
0.5,0.5,(N
0.49333333333333335,0.5066666666666667,(N
0.5,0.5,(N
0.4866666666666667,0.5133333333333333,(N
0.5,0.5,(N
0.49666666666666665,0.5033333333333333,(N
0.4866666666666667,0.5133333333333333,(N
0.5,0.5,(N
0.49333333333333335,0.5066666666666667,(N
0.49333333333333335,0.5066666666666667,(N
0.49666666666666665,0.5033333333333333,(N
0.5,0.5,(N
0.5,0.5,(N
0.48333333333333334,0.5166666666666667,(N
0.5,0.5,(N
0.5,0.5,(N
0.5,0.5,(AFIB
0.48,0.52,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.49,0.51,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.46,0.54,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.47,0.53,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.49,0.51,(AFIB
0.49,0.51,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49,0.51,(AFIB
0.48,0.52,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.5,0.5,(AFIB
0.49,0.51,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.49,0.51,(AFIB
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49,0.51,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.48,0.52,(AFIB
0.5,0.5,(N
0.49,0.51,(AFIB
0.4866666666666667,0.5133333333333333,(AFIB
0.48,0.52,(AFIB
0.49,0.51,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.4766666666666667,0.5233333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.4866666666666667,0.5133333333333333,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.49,0.51,(AFIB
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.5,0.5,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49,0.51,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.4866666666666667,0.5133333333333333,(AFIB
0.49,0.51,(AFIB
0.49,0.51,(AFIB
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.3566666666666667,0.6433333333333333,(N
0.25,0.75,(AB
0.49666666666666665,0.5033333333333333,(SBR
0.46,0.54,(N
0.4633333333333333,0.5366666666666666,(N
0.44666666666666666,0.5533333333333333,(N
0.45666666666666667,0.5433333333333333,(N
0.41,0.59,(N
0.47,0.53,(AFIB
0.44,0.56,(N
0.47333333333333333,0.5266666666666666,(N
0.48,0.52,(N
0.45,0.55,(N
0.47,0.53,(N
0.43666666666666665,0.5633333333333334,(N
0.44666666666666666,0.5533333333333333,(N
0.4633333333333333,0.5366666666666666,(AFIB
0.37666666666666665,0.6233333333333333,(N
0.42333333333333334,0.5766666666666667,(N
0.3933333333333333,0.6066666666666667,(N
0.4533333333333333,0.5466666666666666,(AFIB
0.44666666666666666,0.5533333333333333,(N
0.46,0.54,(AFIB
0.4866666666666667,0.5133333333333333,(AFIB
0.44333333333333336,0.5566666666666666,(N
0.4266666666666667,0.5733333333333334,(N
0.4766666666666667,0.5233333333333333,(N
0.44,0.56,(N
0.43666666666666665,0.5633333333333334,(N
0.45666666666666667,0.5433333333333333,(N
0.4633333333333333,0.5366666666666666,(N
0.47333333333333333,0.5266666666666666,(N
0.4533333333333333,0.5466666666666666,(N
0.4633333333333333,0.5366666666666666,(N
0.46,0.54,(N
0.4633333333333333,0.5366666666666666,(N
0.42333333333333334,0.5766666666666667,(N
0.46,0.54,(N
0.45666666666666667,0.5433333333333333,(N
0.44333333333333336,0.5566666666666666,(N
0.48,0.52,(N
0.43333333333333335,0.5666666666666667,(N
0.43666666666666665,0.5633333333333334,(N
0.47333333333333333,0.5266666666666666,(AFIB
0.0,1.0,(SVTA
0.4766666666666667,0.5233333333333333,(N
0.0,1.0,(SVTA
0.0,1.0,(SVTA
0.0,1.0,(SVTA
0.0,1.0,(SVTA
0.49666666666666665,0.5033333333333333,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.0,1.0,(SVTA
0.5,0.5,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.4766666666666667,0.5233333333333333,(N
0.49,0.51,(AFIB
0.4766666666666667,0.5233333333333333,(AFIB
0.49333333333333335,0.5066666666666667,(AFIB
0.31333333333333335,0.6866666666666666,(N
0.4866666666666667,0.5133333333333333,(N
0.24666666666666667,0.7533333333333333,(B
0.49,0.51,(N
0.2866666666666667,0.7133333333333334,(N
0.43333333333333335,0.5666666666666667,(N
0.0,1.0,(N
0.0,1.0,(N
0.46,0.54,(N
0.24,0.76,(B
0.0,1.0,(N
0.21,0.79,(N
0.38666666666666666,0.6133333333333333,(N
0.24333333333333335,0.7566666666666667,(N
0.47,0.53,(AFIB
0.43666666666666665,0.5633333333333334,(AFIB
0.46,0.54,(AFIB
0.4166666666666667,0.5833333333333334,(N
0.32666666666666666,0.6733333333333333,(N
0.44333333333333336,0.5566666666666666,(N
0.33,0.67,(N
0.47333333333333333,0.5266666666666666,(N
0.4866666666666667,0.5133333333333333,(N
0.38,0.62,(N
0.4866666666666667,0.5133333333333333,(N
0.0,1.0,(N
0.0,1.0,(N
0.0,1.0,(N
0.0,1.0,(N
0.0,1.0,(N
0.0,1.0,(N
0.4866666666666667,0.5133333333333333,(AFIB
0.49666666666666665,0.5033333333333333,(AFIB
0.39666666666666667,0.6033333333333334,(AFIB
0.4033333333333333,0.5966666666666667,(AFIB
0.41,0.59,(AFIB
0.42333333333333334,0.5766666666666667,(AFIB
0.4766666666666667,0.5233333333333333,(N
0.49,0.51,(N
0.43,0.57,(N
0.48,0.52,(N
0.44,0.56,(N
0.42333333333333334,0.5766666666666667,(N
0.3933333333333333,0.6066666666666667,(N
0.4,0.6,(N
0.37333333333333335,0.6266666666666667,(N
0.3566666666666667,0.6433333333333333,(N
0.36666666666666664,0.6333333333333333,(N
